69.23,68.05,69.20,67.41
69.44,69.12,70.04,68.83
68.49,68.80,68.60,67.23
69.36,69.07,69.50,68.38
69.29,68.48,69.99,68.61
67.51,68.40,68.94,67.47
66.25,68.02,67.71,66.17
64.89,68.88,68.21,65.29
67.91,67.49,68.29,67.10
66.80,67.97,67.69,66.90
63.19,67.99,66.96,64.10
66.36,68.21,68.15,66.10
66.96,66.14,66.13,66.58
66.85,67.71,67.98,66.70
65.64,67.24,67.20,65.83
64.26,65.42,65.02,64.28
64.36,67.00,66.62,64.66
65.96,64.16,65.08,64.94
66.34,66.02,67.55,65.83
65.63,64.97,66.00,64.84
65.50,65.67,65.58,64.29
65.62,65.72,65.97,64.92
64.06,66.34,65.88,64.56
66.08,65.91,66.00,65.23
66.99,65.70,67.78,65.62
66.77,66.84,67.21,66.29
62.69,66.22,66.46,61.79
65.21,64.32,66.12,63.60
64.52,64.62,65.43,64.15
61.31,65.58,65.46,61.61
55.35,58.13,58.26,53.73
55.94,52.98,54.89,55.36
57.19,54.95,55.99,55.22
54.34,54.20,54.50,53.22
54.43,53.95,54.03,54.50
53.50,54.98,54.53,53.68
54.30,53.96,55.23,53.40
53.17,53.24,53.89,52.49
51.09,53.34,52.82,51.36
51.20,52.87,52.16,51.61
52.95,53.12,53.22,53.48
50.42,52.47,51.79,50.76
50.20,53.85,53.28,49.71
52.39,52.22,52.38,52.27
53.98,53.52,54.17,53.01
55.32,54.83,55.77,54.80
55.08,56.00,55.92,54.46
57.25,56.53,57.40,56.60
56.96,56.23,56.93,56.23
56.85,56.76,56.81,55.99
56.82,56.64,57.00,57.24
57.42,56.78,57.22,56.86
57.61,56.81,57.26,56.62
56.53,57.32,56.54,57.05
56.04,56.86,56.29,56.86
56.20,56.52,56.70,55.92
57.95,54.89,56.20,56.93
58.27,58.03,58.36,57.04
53.59,55.77,55.08,54.00
56.52,55.84,55.98,55.83
56.80,56.17,56.24,55.95
57.13,56.94,58.15,56.77
58.52,58.50,58.49,57.96
59.31,59.07,59.48,59.20
58.28,59.70,59.29,58.10
57.98,57.72,57.71,57.24
58.82,58.47,59.12,58.64
58.18,58.18,58.71,58.14
57.38,58.45,58.59,57.49
57.01,58.06,57.95,56.94
56.56,57.27,57.44,56.26
57.71,57.44,57.81,57.00
56.01,57.43,57.15,55.94
57.47,58.32,57.86,57.20
56.28,56.89,57.05,56.44
57.64,55.89,57.07,56.75
57.34,57.51,57.13,57.05
57.46,56.58,57.11,57.27
57.18,57.73,57.97,57.30
55.66,57.06,56.99,55.11
56.86,55.34,56.48,56.46
56.65,55.84,57.10,56.63
56.71,55.48,56.30,56.35
56.11,56.72,56.47,56.25
56.72,56.28,57.02,56.35
54.18,56.21,55.91,53.17
51.43,52.96,52.94,51.52
51.62,53.02,53.22,51.23
51.72,52.88,52.68,51.20
52.87,52.45,53.19,52.47
52.71,52.86,52.56,52.27
52.86,53.07,53.61,51.48
52.29,52.91,52.67,52.26
52.87,52.65,52.45,52.47
52.79,53.67,54.11,53.13
52.83,53.70,53.92,53.08
53.38,53.28,53.38,52.91
54.27,50.36,54.56,49.19
53.46,55.50,53.45,55.14
52.98,53.65,53.75,52.70
