948.45,936.05,950.2,935.21
937.09,933.27,942.985,931
932.82,924.15,935.82,920.8
924.52,929,935.9,923.22
891.44,890,893.3774,887.18
889.14,891.39,892.99,885.15
888.84,882.26,892.25,879.2801
878.93,868.44,879.96,866.11
858.95,860.62,862.44,857.73
860.08,859.74,863.93,857.5
856.51,857.385,860.2,853.5275
853.99,852.54,857.39,851.25
855.13,841.38,855.64,841.03
840.18,841.04,843.73,837.8503
841.46,838.46,843.72,837.59
839.88,841.7,844.63,834.6
841.7,841.54,846.7372,840.79
842.1,845,845.88,837.3
845.095,849.5,853.59,844
848.91,854.71,860.59,847.52
852.57,848,853,847.505
856.75,848.75,859,847.5298
847.8,846.83,849.56,845.2445
849.48,851.98,852,846.77
849.87,842.75,851.585,841.38
840.63,839.69,845.4,832.265
838.51,828.09,841.38,824.3
835.14,842,844,829.1
839.65,841.39,841.69,833
849.8,849.48,855.35,847
850.14,870.06,873.47,847.687
867.91,869.48,870.34,864.665
872.37,873.68,874.42,868.37
870,870.53,872.71,867.52
868.39,867.94,869.88,861.295
865.91,863.75,867.58,860.13
864.58,860.83,867.13,860.82
861.405,862.7,864.229,857.61
857.84,853.69,860.71,852.67
853.64,853.12,856.93,851.25
851.15,847.26,853.33,845.52
847.27,846.86,848.94,841.17
849.08,848.94,850.82,844.705
849.85,856.31,856.49,848.72
856.75,851.38,858,849.02
844.93,847.35,848.83,841.4422
849.67,844.95,850.67,843.01
847.81,847.65,848.36,842.9601
851,851.08,852.62,842.5
851.36,848,853.79,846.7101
849.27,847.99,852.2,846.55
846.55,841.31,846.94,839.78
842.17,838.5,842.69,837.26
837.32,838.81,841.7725,836.22
840.03,839.77,842,835.83
838.96,837.7,841.735,836.246
834.85,832.95,837.15,830.51
830.06,831.73,831.98,826.5
829.88,830.53,834.25,825.11
829.23,825.5,831.92,823.2926
821.62,820.92,822.39,814.29
820.13,823.13,826.13,819.35
818.26,815,824.56,812.051
815.24,824,824,812.25
820.19,819.5,823.07,813.4
823.83,837.06,837.23,821.03
845.03,859,867,841.9
856.98,859.05,861,850.5201
858.45,853.55,858.7936,849.74
849.53,846.98,851.52,842.28
844.43,831.61,845.5428,828.7
828.17,829.09,829.24,824.6
824.37,829,832.9999,823.96
829.02,829.8,829.81,824.08
827.46,830,830.18,823.2001
830.94,831,834.65,829.52
829.53,828.38,830.38,821.01
829.86,826.62,829.9,821.47
826.01,827.07,829.41,823.14
827.18,826.37,830.43,821.62
825.21,814.99,828.96,811.5
813.02,807.5,813.74,805.92
807.77,809.89,813.43,804.11
808.01,800.62,811.435,796.89
792.45,803.21,803.285,789.62
802.88,802.33,805.75,798.144
804.57,813.33,813.33,802.44
809.93,808.68,816,805.8
807.8,808.01,810.9696,805.11
809.68,809.1,811.07,806.03
812.2,815.72,815.72,805.1
815.2,813.37,816.49,811
812.5,809.28,816.22,804.5
809.84,818.31,819.2,808.12
815.65,817.36,823,812
817.89,815.92,824.26,812.78
815.34,812.39,824.3,811.94
807.9,804.82,811.35,804.5311
809.45,799.3,809.95,798.05
795.17,792.95,799,787.905
791.47,779.95,792,773.53
776.18,780.19,785.28,773.32
778.22,770,780,766.9686
764.46,761.9,770.5,759
764.33,778.55,778.6,753.36
775.88,789.1,791.51,773.145
789.44,788.38,796.44,785.34
785.79,778.35,799.74,778.1
780.23,782.61,782.9,778.19
779,789.52,789.52,772.65
785,788.99,793.77,783.74
784.8,778.1,786.55,776.3
775.97,787.17,791.29,775.35
786.16,782.5,788.9,779.85
779.98,770.42,783.5,766.33
775.16,765.47,780.2376,765.22
